Lneg_protein,ProteinID_isoformremoved,percent_identity,BLASTPProteinMatch,BLASTP_annotation,E-value,Bit-score
Lneg_g05977_i1,Lneg_g05977,84.576,ref|XP_011344955.1|,uncharacterized protein LOC105283686 [Ooceraea biroi],0,2092
Lneg_g05979_i1,Lneg_g05979,84.468,ref|XP_024872703.1|,alpha-L-fucosidase-like [Temnothorax curvispinosus],0,836
Lneg_g05981_i1,Lneg_g05981,87.207,ref|XP_011347304.2|,AF4/FMR2 family member 4 [Ooceraea biroi],0,1097
Lneg_g05982_i1,Lneg_g05982,92,ref|XP_016767433.2|,"glutamate receptor ionotropic, kainate 2 isoform X4 [Apis mellifera]",0.00000174,48.9
Lneg_g05983_i1,Lneg_g05983,81.385,ref|XP_011169773.1|,uncharacterized protein LOC105202792 [Solenopsis invicta],3.65E-139,393
Lneg_g05984_i1,Lneg_g05984,93.333,ref|XP_018047966.1|,PREDICTED: nucleoporin SEH1 [Atta colombica],0,796
Lneg_g05985_i1,Lneg_g05985,82.799,ref|XP_011053220.1|,PREDICTED: D-aspartate oxidase [Acromyrmex echinatior],0,610
Lneg_g05986_i1,Lneg_g05986,79.322,ref|XP_026824638.1|,tubulin polyglutamylase ttll6 [Ooceraea biroi],0,921
Lneg_g05989_i1,Lneg_g05989,99.093,gb|KMQ96899.1|,putative phosphorylase b kinase regulatory subunit beta-like protein [Lasius niger],0,2279
Lneg_g05990_i1,Lneg_g05990,77.966,ref|XP_624464.3|,pre-mRNA-splicing factor CWC25 homolog [Apis mellifera],9.08E-121,365
Lneg_g05991_i1,Lneg_g05991,74.771,ref|XP_011052609.1|,PREDICTED: Krueppel homolog 1-like [Acromyrmex echinatior],0,628
Lneg_g06001_i1,Lneg_g06001,28.646,ref|XP_039301676.1|,uncharacterized protein LOC120356894 [Solenopsis invicta],9.08E-10,60.1
Lneg_g06002_i1,Lneg_g06002,86.18,ref|XP_024880133.1|,synaptic vesicle glycoprotein 2C-like isoform X2 [Temnothorax curvispinosus],0,929
Lneg_g06003_i1,Lneg_g06003,64.322,ref|XP_011345726.1|,uncharacterized protein LOC105284134 [Ooceraea biroi],3.91E-78,232
Lneg_g06005_i1,Lneg_g06005,99.045,gb|KMQ85728.1|,programmed cell death 6-interacting protein [Lasius niger],0,1273
Lneg_g06006_i4,Lneg_g06006,98.874,gb|KMQ91160.1|,nk-tumor recognition protein [Lasius niger],0,917
Lneg_g06007_i1,Lneg_g06007,100,gb|KMQ91161.1|,motile sperm domain-containing protein 1-like isoform 1 protein [Lasius niger],3.51E-152,425
Lneg_g06008_i1,Lneg_g06008,87.556,ref|XP_011331822.1|,eukaryotic translation initiation factor 4E type 2 [Ooceraea biroi],4.03E-147,410
Lneg_g06009_i1,Lneg_g06009,82.258,ref|XP_011331582.1|,uncharacterized protein LOC105275976 [Ooceraea biroi],1.16E-120,341
Lneg_g06010_i2,Lneg_g06010,94.627,gb|KMQ89327.1|,60s ribosomal protein l7 [Lasius niger],0,1143
Lneg_g06011_i1,Lneg_g06011,62.914,ref|XP_026300965.1|,uncharacterized protein LOC726493 [Apis mellifera],8.4E-122,356
Lneg_g06012_i2,Lneg_g06012,75.907,ref|XP_011161519.1|,prostatic acid phosphatase [Solenopsis invicta],0,632
Lneg_g06013_i1,Lneg_g06013,96.935,gb|KMQ87638.1|,putative atp-dependent rna helicase ddx23 [Lasius niger],0,1529
Lneg_g06014_i1,Lneg_g06014,99.488,gb|KMQ92809.1|,heterogeneous nuclear ribonucleoprotein a2 b1-like protein [Lasius niger],0,739
Lneg_g06015_i2,Lneg_g06015,75.915,ref|XP_024867309.1|,ell-associated factor Eaf [Temnothorax curvispinosus],1.49E-155,440
Lneg_g06016_i1,Lneg_g06016,85.901,ref|XP_024867296.1|,chondroitin sulfate synthase 2 [Temnothorax curvispinosus],0,1385
Lneg_g06017_i1,Lneg_g06017,52.21,ref|XP_026824290.1|,uncharacterized protein LOC113561688 [Ooceraea biroi],0,1990
Lneg_g06018_i1,Lneg_g06018,100,gb|KMQ90353.1|,cytochrome c oxidase subunit mitochondrial precursor [Lasius niger],1.35E-49,152
Lneg_g06022_i1,Lneg_g06022,62.04,ref|XP_024868846.1|,uncharacterized protein LOC112452726 [Temnothorax curvispinosus],1.08E-118,378
Lneg_g06023_i1,Lneg_g06023,100,gb|KMQ96697.1|,protein trachealess-like protein [Lasius niger],4.77E-129,368
Lneg_g06026_i1,Lneg_g06026,95.372,ref|XP_011332657.1|,transcription elongation factor SPT6 isoform X1 [Ooceraea biroi],0,3326
Lneg_g06029_i1,Lneg_g06029,86.111,ref|XP_018058112.1|,PREDICTED: BET1 homolog [Atta colombica],1.6E-64,194
Lneg_g06030_i1,Lneg_g06030,87.926,gb|KMQ83770.1|,proto-oncogene tyrosine-protein kinase ros [Lasius niger],0,586
Lneg_g06031_i1,Lneg_g06031,89.754,ref|XP_024889244.1|,"neural-cadherin-like, partial [Temnothorax curvispinosus]",1.16E-150,423
Lneg_g06033_i1,Lneg_g06033,95.939,ref|XP_019888660.1|,"myosin heavy chain, muscle isoform X17 [Ooceraea biroi]",0,1598
Lneg_g06034_i1,Lneg_g06034,80,ref|XP_026828617.1|,myosin-7-like [Ooceraea biroi],2.66E-42,134
Lneg_g06039_i1,Lneg_g06039,88.309,ref|XP_012217108.1|,PREDICTED: mitogen-activated protein kinase kinase kinase 11-like [Linepithema humile],0,811
Lneg_g06040_i2,Lneg_g06040,79.31,ref|XP_011068439.1|,PREDICTED: aldose 1-epimerase-like [Acromyrmex echinatior],0,712
Lneg_g06041_i1,Lneg_g06041,87.427,ref|XP_024882289.1|,ATP-dependent DNA helicase DDX11 [Temnothorax curvispinosus],0,1541
Lneg_g06042_i1,Lneg_g06042,63.323,ref|NP_651246.2|,"Dis3, isoform A [Drosophila melanogaster]",0,1268
Lneg_g06043_i1,Lneg_g06043,88.125,ref|XP_018050199.1|,PREDICTED: TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L [Atta colombica],0,891
Lneg_g06044_i1,Lneg_g06044,78.51,ref|XP_018058335.1|,PREDICTED: triokinase/FMN cyclase-like [Atta colombica],0,573
Lneg_g06045_i1,Lneg_g06045,100,gb|KMQ94687.1|,"rna-binding protein 38-like protein, partial [Lasius niger]",2.08E-105,311
Lneg_g06046_i1,Lneg_g06046,53.515,ref|XP_011160640.2|,uncharacterized protein LOC105196402 [Solenopsis invicta],3.41E-132,390
Lneg_g06047_i1,Lneg_g06047,72.642,ref|XP_011349708.1|,gem-associated protein 7 [Ooceraea biroi],1.86E-51,159
Lneg_g06048_i1,Lneg_g06048,97.251,gb|KMQ92867.1|,mediator of rna polymerase ii transcription subunit 30-like protein [Lasius niger],0,563
Lneg_g06049_i1,Lneg_g06049,34.156,ref|XP_011349695.1|,uncharacterized protein LOC105286439 [Ooceraea biroi],4.14E-29,112
Lneg_g06050_i1,Lneg_g06050,96.099,gb|KMQ92868.1|,hypothetical protein RF55_7093 [Lasius niger],2.64E-176,491
Lneg_g06051_i1,Lneg_g06051,96.364,gb|KMQ96713.1|,loricrin-like isoform x1 protein [Lasius niger],1.26E-150,423
Lneg_g06052_i1,Lneg_g06052,57.208,ref|XP_011349651.2|,uncharacterized protein LOC105286403 [Ooceraea biroi],1.66E-132,389
Lneg_g06053_i2,Lneg_g06053,32.075,ref|XP_019889725.1|,uncharacterized protein LOC105286394 [Ooceraea biroi],1.93E-11,64.7
Lneg_g06054_i1,Lneg_g06054,48.962,ref|XP_011349607.1|,mucin-5AC isoform X1 [Ooceraea biroi],2.12E-118,362
Lneg_g06055_i1,Lneg_g06055,67.159,ref|XP_024879213.1|,uncharacterized protein LOC112459380 [Temnothorax curvispinosus],1.65E-122,353
Lneg_g06056_i1,Lneg_g06056,95.137,ref|XP_011349590.1|,tyrosine-protein kinase Dnt [Ooceraea biroi],0,939
Lneg_g06058_i1,Lneg_g06058,27.24,ref|XP_024881217.1|,uncharacterized protein LOC112460653 [Temnothorax curvispinosus],3.85E-26,106
Lneg_g06064_i1,Lneg_g06064,47.887,ref|XP_024882393.1|,involucrin-like [Temnothorax curvispinosus],1.33E-38,145
Lneg_g06066_i1,Lneg_g06066,71.264,gb|KMR04456.1|,protein purity of essence [Lasius niger],7.84E-31,119
Lneg_g06070_i1,Lneg_g06070,98.574,gb|KMQ90083.1|,hypothetical protein RF55_10200 [Lasius niger],0,1267
Lneg_g06071_i1,Lneg_g06071,87.879,ref|XP_024888558.1|,uncharacterized protein LOC112465294 [Temnothorax curvispinosus],4.88E-35,120
Lneg_g06072_i1,Lneg_g06072,99.06,gb|KMQ96352.1|,hypothetical protein RF55_3372 [Lasius niger],0,1225
Lneg_g06073_i1,Lneg_g06073,62.162,ref|NP_477156.1|,clipper [Drosophila melanogaster],1.43E-125,362
Lneg_g06074_i1,Lneg_g06074,89.662,ref|XP_011050224.1|,PREDICTED: drebrin-like protein [Acromyrmex echinatior],0,869
Lneg_g06075_i1,Lneg_g06075,96,ref|XP_025993561.2|,apoptosis inhibitor 5 [Solenopsis invicta],0,991
Lneg_g06076_i1,Lneg_g06076,61.29,ref|NP_731500.1|,mediator complex subunit 7 [Drosophila melanogaster],1.89E-76,232
Lneg_g06077_i1,Lneg_g06077,88.077,ref|XP_012229526.1|,PREDICTED: tyrosine-protein kinase Btk29A isoform X1 [Linepithema humile],3.21E-130,389
Lneg_g06078_i1,Lneg_g06078,98.753,gb|KMQ88664.1|,"epidermal cell surface receptor, partial [Lasius niger]",0,823
Lneg_g06080_i2,Lneg_g06080,80.015,ref|XP_025992193.1|,protein ECT2 isoform X1 [Solenopsis invicta],0,2101
Lneg_g06081_i1,Lneg_g06081,79.133,ref|XP_011344811.1|,uncharacterized protein LOC105283610 [Ooceraea biroi],0,570
Lneg_g06083_i1,Lneg_g06083,54.844,ref|XP_039303245.1|,homeobox protein cut-like [Solenopsis invicta],0,927
Lneg_g06084_i2,Lneg_g06084,83.846,ref|XP_011067703.1|,PREDICTED: histidine-rich glycoprotein-like [Acromyrmex echinatior],1.99E-84,255
Lneg_g06086_i1,Lneg_g06086,97.803,gb|KMQ92361.1|,coatomer subunit beta [Lasius niger],0,1912
Lneg_g06087_i1,Lneg_g06087,74.684,ref|XP_024877819.1|,"protein Mo25, partial [Temnothorax curvispinosus]",7.6E-32,118
Lneg_g06088_i1,Lneg_g06088,98.446,gb|KMQ92360.1|,hypothetical protein RF55_7665 [Lasius niger],3.49E-143,400
Lneg_g06090_i1,Lneg_g06090,99.474,gb|KMQ92865.1|,ras-like protein family member 11b-like protein [Lasius niger],1.64E-137,384
Lneg_g06091_i1,Lneg_g06091,97.153,ref|XP_012233376.1|,PREDICTED: pumilio homolog 2 isoform X1 [Linepithema humile],0,574
Lneg_g06093_i1,Lneg_g06093,71.533,ref|XP_026824643.1|,putative epidermal cell surface receptor [Ooceraea biroi],0,816
Lneg_g06095_i1,Lneg_g06095,39.375,ref|XP_025988405.2|,uncharacterized protein LOC105200011 [Solenopsis invicta],1.4E-57,197
Lneg_g06096_i1,Lneg_g06096,77.891,ref|XP_025993881.1|,uncharacterized protein LOC105208235 [Solenopsis invicta],2.64E-164,460
Lneg_g06097_i1,Lneg_g06097,59.468,ref|NP_608521.1|,uncharacterized protein Dmel_CG13690 [Drosophila melanogaster],2.45E-118,347
Lneg_g06098_i1,Lneg_g06098,78.743,ref|XP_024881343.1|,"hydroxymethylglutaryl-CoA lyase, mitochondrial [Temnothorax curvispinosus]",0,554
Lneg_g06099_i1,Lneg_g06099,87.17,ref|XP_011164861.1|,PSME3-interacting protein isoform X2 [Solenopsis invicta],3.91E-151,425
Lneg_g06100_i1,Lneg_g06100,38.728,ref|XP_024881312.1|,uncharacterized protein LOC112460727 [Temnothorax curvispinosus],2.83E-36,128
Lneg_g06101_i1,Lneg_g06101,86.364,ref|XP_011166500.2|,uncharacterized protein LOC105200564 [Solenopsis invicta],1.93E-111,317
Lneg_g06102_i1,Lneg_g06102,40.11,ref|XP_024890483.1|,uncharacterized protein LOC112466557 [Temnothorax curvispinosus],1.48E-34,124
Lneg_g06103_i1,Lneg_g06103,66.667,ref|XP_011163055.1|,putative protein FAM10A4 [Solenopsis invicta],4.49E-125,365
Lneg_g06104_i1,Lneg_g06104,79.392,ref|XP_011330618.1|,sarcalumenin isoform X2 [Ooceraea biroi],0,1248
Lneg_g06111_i1,Lneg_g06111,66.667,ref|XP_011332025.1|,putative polypeptide N-acetylgalactosaminyltransferase 9 isoform X1 [Ooceraea biroi],3.48E-87,278
Lneg_g06112_i3,Lneg_g06112,93.369,ref|XP_025990450.1|,serine-enriched protein isoform X1 [Solenopsis invicta],0,720
Lneg_g06113_i1,Lneg_g06113,55.392,ref|XP_024874233.1|,serine-enriched protein [Temnothorax curvispinosus],5.02E-39,144
Lneg_g06114_i1,Lneg_g06114,55.612,gb|KMQ97465.1|,alpha-amylase 1 [Lasius niger],2.66E-64,220
Lneg_g06115_i1,Lneg_g06115,48.289,ref|XP_039305709.1|,dentin sialophosphoprotein [Solenopsis invicta],1.76E-67,228
Lneg_g06116_i1,Lneg_g06116,65.796,ref|XP_024873960.1|,venom acid phosphatase Acph-1-like [Temnothorax curvispinosus],0,572
Lneg_g06117_i1,Lneg_g06117,95.037,gb|KMQ89563.1|,prostatic acid phosphatase [Lasius niger],0,795
Lneg_g06118_i1,Lneg_g06118,82.512,gb|KMQ85603.1|,prostatic acid phosphatase [Lasius niger],0,668
Lneg_g06119_i2,Lneg_g06119,73.05,ref|XP_024873955.1|,uncharacterized protein LOC112455959 [Temnothorax curvispinosus],5.22E-64,218
Lneg_g06120_i1,Lneg_g06120,77.015,ref|XP_026824420.1|,venom acid phosphatase Acph-1 [Ooceraea biroi],0,554
Lneg_g06123_i1,Lneg_g06123,38.889,ref|NP_569916.1|,O-fucosyltransferase 2 [Drosophila melanogaster],1.85E-97,303
Lneg_g06124_i1,Lneg_g06124,73.298,ref|XP_024884312.1|,activating signal cointegrator 1 complex subunit 2 [Temnothorax curvispinosus],0,1083
Lneg_g06125_i1,Lneg_g06125,82.264,ref|XP_024884313.1|,bridging integrator 3-like [Temnothorax curvispinosus],3.26E-149,420
Lneg_g06126_i1,Lneg_g06126,84.898,ref|XP_024884305.1|,protein FRA10AC1 homolog [Temnothorax curvispinosus],4.77E-153,427
Lneg_g06127_i1,Lneg_g06127,91.429,ref|XP_012226704.1|,PREDICTED: cytosolic purine 5'-nucleotidase isoform X7 [Linepithema humile],0,1226
Lneg_g06128_i1,Lneg_g06128,100,gb|KMQ94735.1|,o-phosphoseryl-trna selenium transferase [Lasius niger],0,1058
Lneg_g06129_i1,Lneg_g06129,85.662,ref|XP_012226758.1|,PREDICTED: mannosyl-oligosaccharide glucosidase [Linepithema humile],0,1466
Lneg_g06130_i1,Lneg_g06130,98.936,ref|XP_025986378.1|,actin-related protein 1 [Solenopsis invicta],0,768
Lneg_g06131_i2,Lneg_g06131,92.26,ref|XP_026828285.1|,liprin-alpha-1 isoform X5 [Ooceraea biroi],0,2312
Lneg_g06132_i1,Lneg_g06132,67.886,ref|XP_011346712.1|,gephyrin [Ooceraea biroi],0,848
Lneg_g06133_i2,Lneg_g06133,76.252,ref|XP_001121363.2|,CLK4-associating serine/arginine rich protein [Apis mellifera],0,842
Lneg_g06134_i1,Lneg_g06134,92.034,ref|XP_024873462.1|,serine/threonine-protein kinase minibrain [Temnothorax curvispinosus],0,1038
Lneg_g06135_i1,Lneg_g06135,74.02,gb|KMQ83414.1|,proto-oncogene tyrosine-protein kinase ros [Lasius niger],9.07E-109,322
Lneg_g06136_i1,Lneg_g06136,27.178,ref|XP_003250801.2|,uncharacterized protein LOC100578797 [Apis mellifera],2.92E-25,104
Lneg_g06137_i1,Lneg_g06137,92.683,gb|KMQ91706.1|,cytoplasmic antigen 1 [Lasius niger],1.47E-78,232
Lneg_g06141_i1,Lneg_g06141,96.566,ref|XP_026829969.1|,uncharacterized transmembrane protein DDB_G0289901 [Ooceraea biroi],0,948
Lneg_g06142_i1,Lneg_g06142,85.745,ref|XP_011345820.1|,neuropeptides capa receptor [Ooceraea biroi],0,814
Lneg_g06145_i1,Lneg_g06145,63.855,gb|KMQ85038.1|,hypothetical protein RF55_16681 [Lasius niger],2.08E-16,80.1
Lneg_g06146_i1,Lneg_g06146,30,gb|KMQ81460.1|,"adnp homeobox 2, partial [Lasius niger]",0.00000001,55.5
Lneg_g06147_i1,Lneg_g06147,99.422,gb|KMR04475.1|,discoidin domain-containing receptor 2-like protein [Lasius niger],4.22E-127,361
Lneg_g06154_i1,Lneg_g06154,91.216,ref|XP_024889792.1|,"L-2-hydroxyglutarate dehydrogenase, mitochondrial [Temnothorax curvispinosus]",0,855
Lneg_g06155_i1,Lneg_g06155,84.942,ref|XP_011052068.1|,PREDICTED: post-GPI attachment to proteins factor 2-like [Acromyrmex echinatior],8.04E-167,464
Lneg_g06156_i1,Lneg_g06156,79.268,ref|XP_025992604.1|,WW domain-binding protein 4 [Solenopsis invicta],1.13E-163,464
Lneg_g06157_i1,Lneg_g06157,88.462,ref|XP_018045211.1|,PREDICTED: calmodulin-lysine N-methyltransferase [Atta colombica],0,612
Lneg_g06158_i1,Lneg_g06158,64.124,ref|XP_011163588.2|,facilitated trehalose transporter Tret1 [Solenopsis invicta],0,654
Lneg_g06159_i1,Lneg_g06159,57.692,gb|KMQ94446.1|,protein-l-isoaspartate-d-aspartate-o-methyltransferase [Lasius niger],2.92E-77,243
Lneg_g06160_i1,Lneg_g06160,99.522,gb|KMQ94446.1|,protein-l-isoaspartate-d-aspartate-o-methyltransferase [Lasius niger],2.22E-148,424
Lneg_g06161_i1,Lneg_g06161,88.511,ref|XP_024880051.1|,LOW QUALITY PROTEIN: equilibrative nucleoside transporter 3 [Temnothorax curvispinosus],0,863
Lneg_g06162_i2,Lneg_g06162,96.433,gb|KMQ97399.1|,dna replication licensing factor mcm4 [Lasius niger],0,1705
Lneg_g06163_i2,Lneg_g06163,98.198,gb|KMQ97400.1|,tripartite motif-containing protein 71 [Lasius niger],0,1589
Lneg_g06164_i1,Lneg_g06164,73.199,ref|XP_011064595.1|,PREDICTED: probable WRKY transcription factor protein 1 isoform X1 [Acromyrmex echinatior],0,583
Lneg_g06165_i1,Lneg_g06165,35.052,ref|XP_011158745.1|,RING-box protein 1A [Solenopsis invicta],6.51E-15,67
Lneg_g06166_i1,Lneg_g06166,92.635,ref|XP_011334111.1|,menin [Ooceraea biroi],0,1126
Lneg_g06168_i5,Lneg_g06168,87.764,ref|XP_011172110.1|,GTP-binding protein Rit2 [Solenopsis invicta],6.6E-147,413
Lneg_g06169_i1,Lneg_g06169,94.271,ref|XP_024882626.1|,protein DENND6A isoform X1 [Temnothorax curvispinosus],0,1144
Lneg_g06171_i2,Lneg_g06171,87.879,ref|XP_011342854.1|,synapse-associated protein of 47 kDa isoform X1 [Ooceraea biroi],6.99E-113,331
Lneg_g06172_i1,Lneg_g06172,80.11,ref|XP_025987101.2|,guanylate cyclase 32E [Solenopsis invicta],0,898
Lneg_g06174_i1,Lneg_g06174,97.797,gb|KMQ85680.1|,hypothetical protein RF55_15616 [Lasius niger],1.72E-165,459
Lneg_g06176_i1,Lneg_g06176,53.535,gb|KMQ92001.1|,reverse transcriptase [Lasius niger],1.64E-20,88.2
Lneg_g06178_i1,Lneg_g06178,52.747,gb|KMQ91613.1|,hypothetical protein RF55_8496 [Lasius niger],1.11E-51,178
Lneg_g06180_i1,Lneg_g06180,45.28,ref|NP_573232.1|,integrator 2 [Drosophila melanogaster],0,952
Lneg_g06181_i2,Lneg_g06181,95.105,ref|NP_001291537.1|,AP-2 complex subunit sigma [Solenopsis invicta],1.59E-95,275
Lneg_g06182_i1,Lneg_g06182,85.096,ref|XP_018058184.1|,"PREDICTED: beta-1,3-galactosyltransferase 5-like [Atta colombica]",0,719
Lneg_g06183_i1,Lneg_g06183,63.656,ref|XP_024868020.1|,fatty acyl-CoA reductase wat-like [Temnothorax curvispinosus],0,635
Lneg_g06184_i1,Lneg_g06184,25.538,ref|XP_011339223.1|,protein will die slowly [Ooceraea biroi],1.35E-11,68.6
Lneg_g06185_i1,Lneg_g06185,98.291,gb|KMQ94585.1|,serine threonine-protein kinase lmtk1 [Lasius niger],8.69E-64,243
Lneg_g06186_i1,Lneg_g06186,97.705,gb|KMQ86323.1|,hypothetical protein RF55_14711 [Lasius niger],0,624
Lneg_g06187_i1,Lneg_g06187,88.182,ref|XP_011171593.1|,60S ribosomal protein L28 [Solenopsis invicta],5.72E-67,203
Lneg_g06188_i1,Lneg_g06188,84.058,ref|XP_024878754.1|,phosphatase and actin regulator 4B isoform X7 [Temnothorax curvispinosus],6.23E-75,247
Lneg_g06189_i1,Lneg_g06189,96.93,gb|KMR04732.1|,phosphatase and actin regulator 4 isoform x3 [Lasius niger],0,888
Lneg_g06190_i1,Lneg_g06190,76.984,ref|XP_039306701.1|,serine/threonine-protein kinase S6KL [Solenopsis invicta],2.58E-53,178
Lneg_g06191_i1,Lneg_g06191,96.451,gb|KMQ89722.1|,neurofilament heavy polypeptide [Lasius niger],0,826
Lneg_g06192_i2,Lneg_g06192,91.351,ref|XP_024894061.1|,microtubule-actin cross-linking factor 1 isoform X1 [Temnothorax curvispinosus],0,15853
Lneg_g06194_i1,Lneg_g06194,69.171,ref|NP_648509.1|,uncharacterized protein Dmel_CG10361 [Drosophila melanogaster],0,576
Lneg_g06195_i1,Lneg_g06195,100,gb|KMQ90391.1|,atpase asna1-like protein [Lasius niger],0,694
Lneg_g06197_i1,Lneg_g06197,63.72,ref|XP_039314723.1|,uncharacterized protein LOC105200624 [Solenopsis invicta],2.82E-144,410
Lneg_g06198_i1,Lneg_g06198,97.455,ref|XP_012223072.1|,PREDICTED: trimeric intracellular cation channel type B [Linepithema humile],0,553
Lneg_g06199_i1,Lneg_g06199,29.868,gb|KMQ87099.1|,hypothetical protein RF55_13714 [Lasius niger],4E-61,217
Lneg_g06200_i1,Lneg_g06200,95.284,ref|XP_024891984.1|,mediator of RNA polymerase II transcription subunit 23 [Temnothorax curvispinosus],0,2651
Lneg_g06201_i2,Lneg_g06201,80.672,ref|XP_012226203.1|,PREDICTED: pyrimidodiazepine synthase-like [Linepithema humile],3.21E-147,414
Lneg_g06203_i1,Lneg_g06203,93.243,ref|XP_018051998.1|,PREDICTED: conserved oligomeric Golgi complex subunit 4 [Atta colombica],0,1437
Lneg_g06206_i1,Lneg_g06206,90.231,ref|XP_012224835.1|,PREDICTED: voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X2 [Linepithema humile],0,1399
Lneg_g06213_i1,Lneg_g06213,93.083,ref|XP_024889300.1|,BTB/POZ domain-containing protein 17 [Temnothorax curvispinosus],0,977
Lneg_g06215_i1,Lneg_g06215,89.973,gb|KMQ93921.1|,mll1 mll complex subunit [Lasius niger],0,2018
Lneg_g06216_i1,Lneg_g06216,89.918,gb|KMQ90872.1|,dna polymerase delta small subunit-like protein [Lasius niger],0,879
Lneg_g06217_i1,Lneg_g06217,91.534,gb|KMQ90873.1|,transcription elongation regulator 1 [Lasius niger],0,1160
Lneg_g06218_i1,Lneg_g06218,98.438,ref|XP_024868794.1|,AT-rich interactive domain-containing protein 2-like [Temnothorax curvispinosus],5.21E-42,134
Lneg_g06219_i1,Lneg_g06219,63.248,ref|NP_572335.1|,uncharacterized protein Dmel_CG3224 [Drosophila melanogaster],1.05E-41,138
Lneg_g06220_i1,Lneg_g06220,57.727,ref|XP_006570730.1|,uncharacterized protein LOC102655284 [Apis mellifera],0,568
Lneg_g06221_i1,Lneg_g06221,91.667,gb|KMQ97831.1|,glutathione synthetase [Lasius niger],1.8E-177,514
Lneg_g06222_i1,Lneg_g06222,86.653,ref|XP_012228885.1|,PREDICTED: glutathione synthetase-like [Linepithema humile],0,875
Lneg_g06223_i1,Lneg_g06223,83.036,ref|NP_524421.1|,ribosomal protein S20 [Drosophila melanogaster],2.76E-62,188
Lneg_g06224_i1,Lneg_g06224,92.513,gb|KMQ97829.1|,eukaryotic translation initiation factor 2 subunit 1-like protein [Lasius niger],0,691
Lneg_g06226_i1,Lneg_g06226,98.889,gb|KMQ97827.1|,vesicular inhibitory amino acid transporter-like protein [Lasius niger],0,1097
Lneg_g06227_i1,Lneg_g06227,65.457,ref|XP_011329620.2|,myb-like protein X [Ooceraea biroi],0,907
Lneg_g06228_i1,Lneg_g06228,91.304,ref|XP_026827784.1|,DTW domain-containing protein 2 [Ooceraea biroi],7.96E-173,478
Lneg_g06229_i1,Lneg_g06229,79.37,ref|XP_011175625.1|,protein arginine N-methyltransferase 7 [Solenopsis invicta],0,1195
Lneg_g06230_i1,Lneg_g06230,69.872,ref|XP_026827786.1|,uncharacterized protein LOC113562450 [Ooceraea biroi],2.01E-74,221
Lneg_g06231_i1,Lneg_g06231,76.606,ref|XP_011175624.1|,zinc finger and SCAN domain-containing protein 2 isoform X2 [Solenopsis invicta],0,1491
Lneg_g06232_i1,Lneg_g06232,64.067,ref|XP_039313396.1|,abscission/NoCut checkpoint regulator isoform X1 [Solenopsis invicta],1.24E-153,437
Lneg_g06233_i1,Lneg_g06233,99.702,ref|XP_011331048.1|,protein Mo25 isoform X1 [Ooceraea biroi],0,688
Lneg_g06234_i1,Lneg_g06234,67.408,ref|XP_011331046.2|,protein abnormal spindle [Ooceraea biroi],0,2230
Lneg_g06235_i1,Lneg_g06235,100,ref|XP_011059495.1|,PREDICTED: serine/threonine-protein phosphatase 4 catalytic subunit [Acromyrmex echinatior],0,641
Lneg_g06236_i1,Lneg_g06236,100,gb|KMR01324.1|,translation factor sui1-like protein [Lasius niger],2.65E-79,230
Lneg_g06237_i1,Lneg_g06237,98.795,gb|KMR00158.1|,la-related protein 4 [Lasius niger],0,1345
Lneg_g06238_i1,Lneg_g06238,87.919,ref|XP_024873330.1|,homeobox protein B-H2 [Temnothorax curvispinosus],8.46E-170,485
Lneg_g06239_i3,Lneg_g06239,63.465,ref|XP_024890463.1|,UDP-glucuronosyltransferase-like [Temnothorax curvispinosus],0,698
Lneg_g06241_i1,Lneg_g06241,85.246,ref|XP_024871205.1|,protein PTHB1-like [Temnothorax curvispinosus],4.34E-69,227
Lneg_g06242_i1,Lneg_g06242,35.593,ref|XP_025994692.2|,uncharacterized protein LOC113004716 [Solenopsis invicta],2.1E-41,143
Lneg_g06243_i1,Lneg_g06243,80.637,ref|XP_011163270.1|,O-glucosyltransferase rumi homolog [Solenopsis invicta],0,701
Lneg_g06249_i1,Lneg_g06249,60,gb|KMQ83437.1|,"proto-oncogene tyrosine-protein kinase ros, partial [Lasius niger]",3.19E-74,233
Lneg_g06250_i1,Lneg_g06250,99,gb|KMR04994.1|,homeobox protein homothorax-like protein [Lasius niger],6E-69,211
Lneg_g06252_i1,Lneg_g06252,100,ref|XP_012216812.1|,PREDICTED: homeobox protein homothorax isoform X1 [Linepithema humile],9.9E-20,87
Lneg_g06253_i1,Lneg_g06253,97.817,gb|KMQ96812.1|,hypothetical protein RF55_2886 [Lasius niger],0,1008
Lneg_g06254_i1,Lneg_g06254,89.145,ref|XP_011051313.1|,PREDICTED: uncharacterized protein LOC105144240 [Acromyrmex echinatior],0,532
Lneg_g06255_i1,Lneg_g06255,97.778,ref|XP_024873104.1|,BTB/POZ domain-containing protein KCTD1 [Temnothorax curvispinosus],0,629
Lneg_g06257_i1,Lneg_g06257,85.338,ref|XP_024875780.1|,cadherin EGF LAG seven-pass G-type receptor 1-like [Temnothorax curvispinosus],3.32E-165,466
Lneg_g06258_i1,Lneg_g06258,99.444,gb|KMQ92829.1|,actin-related protein 2 3 complex subunit 1a [Lasius niger],0,751
Lneg_g06263_i1,Lneg_g06263,40.496,ref|XP_024868914.1|,uncharacterized protein LOC112452760 [Temnothorax curvispinosus],8.19E-23,93.6
